Date,Adj Close
18/4/2017,2342.189941
17/4/2017,2349.01001
13/4/2017,2328.949951
12/4/2017,2344.929932
11/4/2017,2353.780029
10/4/2017,2357.159912
7/4/2017,2355.540039
6/4/2017,2357.48999
5/4/2017,2352.949951
4/4/2017,2360.159912
3/4/2017,2358.840088
31/3/2017,2362.719971
30/3/2017,2368.060059
29/3/2017,2361.129883
28/3/2017,2358.570068
27/3/2017,2341.590088
24/3/2017,2343.97998
23/3/2017,2345.959961
22/3/2017,2348.449951
21/3/2017,2344.02002
20/3/2017,2373.469971
17/3/2017,2378.25
16/3/2017,2381.379883
15/3/2017,2385.26001
14/3/2017,2365.449951
13/3/2017,2373.469971
10/3/2017,2372.600098
9/3/2017,2364.870117
8/3/2017,2362.97998
7/3/2017,2368.389893
6/3/2017,2375.310059
3/3/2017,2383.120117
2/3/2017,2381.919922
1/3/2017,2395.959961
28/2/2017,2363.639893
27/2/2017,2369.72998
24/2/2017,2367.340088
23/2/2017,2363.810059
22/2/2017,2362.820068
21/2/2017,2365.379883
17/2/2017,2351.159912
16/2/2017,2347.219971
15/2/2017,2349.25
14/2/2017,2337.580078
13/2/2017,2328.25
10/2/2017,2316.100098
9/2/2017,2307.870117
8/2/2017,2294.669922
7/2/2017,2293.080078
6/2/2017,2292.560059
3/2/2017,2297.419922
2/2/2017,2280.850098
1/2/2017,2279.550049
31/1/2017,2278.870117
30/1/2017,2280.899902
27/1/2017,2294.689941
26/1/2017,2296.679932
25/1/2017,2298.370117
24/1/2017,2280.070068
23/1/2017,2265.199951
20/1/2017,2271.310059
19/1/2017,2263.689941
18/1/2017,2271.889893
17/1/2017,2267.889893
13/1/2017,2274.639893
12/1/2017,2270.439941
11/1/2017,2275.320068
10/1/2017,2268.899902
9/1/2017,2268.899902
6/1/2017,2276.97998
5/1/2017,2269
4/1/2017,2270.75
3/1/2017,2257.830078
30/12/2016,2238.830078
29/12/2016,2249.26001
28/12/2016,2249.919922
27/12/2016,2268.879883
23/12/2016,2263.790039
22/12/2016,2260.959961
21/12/2016,2265.179932
20/12/2016,2270.76001
19/12/2016,2262.530029
16/12/2016,2258.070068
15/12/2016,2262.030029
14/12/2016,2253.280029
13/12/2016,2271.719971
12/12/2016,2256.959961
9/12/2016,2259.530029
8/12/2016,2246.189941
7/12/2016,2241.350098
6/12/2016,2212.22998
5/12/2016,2204.709961
2/12/2016,2191.949951
1/12/2016,2191.080078
30/11/2016,2198.810059
29/11/2016,2204.659912
28/11/2016,2201.719971
25/11/2016,2213.350098
23/11/2016,2204.719971
22/11/2016,2202.939941
